,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,Target
553,1,0,3.9,135,1,2,47,800.0,1
554,0,0,3.9,28,1,8,59,300.0,1
555,1,0,3.8,918,1,8,66,800.0,1
556,1,0,3.8,90,1,1,16,650.0,1
557,1,0,3.9,519,1,2,66,900.0,1
558,1,0,3.6,105,1,2,66,700.0,0
559,0,0,3.7,43,1,8,45,700.0,0
560,0,0,3.7,46,1,8,42,400.0,0
561,1,0,3.9,133,1,1,66,800.0,1
562,1,0,3.8,144,1,1,66,700.0,1
563,0,0,3.9,93,1,1,66,300.0,1
564,1,0,3.8,42,1,6,63,300.0,1
565,1,0,2.5,247,1,2,43,500.0,0
566,1,0,3.1,13,1,1,66,400.0,0
567,0,0,3.7,39,1,2,45,450.0,0
568,1,0,3.0,62,1,1,66,400.0,0
569,1,0,3.8,160,1,2,45,700.0,1
570,0,0,3.5,14,1,8,42,200.0,0
571,0,0,3.8,42,1,2,45,700.0,1
572,1,0,3.1,119,1,2,66,700.0,0
573,1,0,3.6,129,1,2,66,600.0,0
574,0,0,3.3,62,1,8,63,800.0,0
576,1,0,3.6,24,1,2,45,600.0,0
578,0,0,2.6,283,1,2,43,600.0,0
579,0,0,3.6,42,1,8,66,300.0,0
580,0,0,3.4,10,1,6,66,300.0,0
581,0,0,3.7,39,1,2,66,950.0,0
582,1,0,3.8,59,1,2,45,750.0,1
583,1,0,3.5,179,1,2,66,600.0,0
584,0,0,3.8,62,1,6,61,150.0,1
585,0,0,3.4,6,1,2,26,500.0,0
586,0,0,3.1,30,1,8,23,1.0,0
587,0,0,3.5,10,1,6,60,300.0,0
588,0,0,3.6,36,1,2,66,500.0,0
589,0,0,3.7,31,1,1,16,300.0,0
591,0,0,3.2,11,1,1,17,600.0,0
592,0,0,3.0,98,1,8,45,800.0,0
593,0,0,3.5,18,1,8,66,150.0,0
594,0,0,3.5,10,1,2,63,500.0,0
595,0,0,2.7,128,1,2,24,850.0,0
597,1,0,2.8,45,1,2,66,800.0,0
598,1,0,3.2,119,1,2,45,400.0,0
599,1,0,3.4,12,1,8,66,150.0,0
601,0,0,3.3,4,1,1,66,500.0,0
605,1,0,3.5,41,42,8,66,400.0,0
606,1,0,3.7,405,1,2,58,750.0,0
607,1,0,3.9,388,1,2,66,650.0,1
608,0,0,4.7,651,1,6,59,100.0,1
609,1,0,4.3,734,1,6,64,200.0,1
610,0,0,3.7,21,1,6,43,450.0,0
611,0,0,4.0,1047,1,6,66,450.0,1
612,1,0,3.8,505,1,6,15,450.0,1
613,0,0,3.6,55,1,6,33,200.0,0
614,1,0,3.9,264,1,6,59,200.0,1
615,1,0,3.8,133,1,6,66,300.0,1
616,1,0,3.9,286,1,6,15,500.0,1
617,0,0,4.4,343,1,6,59,100.0,1
618,1,0,3.6,66,1,6,59,150.0,0
619,1,0,3.4,10,1,6,59,100.0,0
620,1,0,3.8,61,1,6,45,300.0,1
621,0,0,3.8,70,1,6,32,500.0,1
622,1,0,3.6,28,1,6,14,300.0,0
623,1,0,3.8,70,1,6,59,100.0,1
624,1,0,3.8,28,1,6,31,150.0,1
625,1,0,3.5,15,1,6,66,250.0,0
626,1,0,3.8,131,1,6,9,250.0,1
627,0,0,3.8,19,1,6,59,150.0,1
628,1,0,3.7,237,1,6,66,200.0,0
629,1,0,3.3,6,1,6,62,500.0,0
630,1,0,4.1,201,1,6,64,300.0,1
631,1,0,2.8,506,1,6,66,500.0,0
632,0,0,4.1,520,1,6,66,300.0,1
633,1,0,3.8,104,1,6,10,300.0,1
634,0,0,3.7,88,1,6,62,300.0,0
635,1,0,3.6,95,1,6,66,150.0,0
